Username,Comment,Post Link,Label
riswanfaisal9,Begitu memang kalau bukan ji uang pribadi  pembangunannya supaya ada lagi anggaran  untuk pambangunan  stadion om,https://www.instagram.com/p/C5pDGE4MM_x/,negatif
sugiharto3406,Bagaimana stadion Barombong bro,https://www.instagram.com/p/C5pDGE4MM_x/,netral
jasafollow73,Jasa nambah followers,https://www.instagram.com/p/C5pDGE4MM_x/,netral
ahmadyaasiin5735,Punya Uuuu,https://www.instagram.com/p/C5pDGE4MM_x/,netral
modifikasibengkelcakra,Bikin cepat cair anggarannya supaya bisa dipakai modal pilgub😂😂,https://www.instagram.com/p/C5pDGE4MM_x/,negatif
haidir.halik,Tanam mi dulu batu pertamanya. Nah dilihat bagaimana selanjutnya. 😂,https://www.instagram.com/p/C5pDGE4MM_x/,netral
yusufarbyanggaistiqlal.a,Yg penting bukan ji lagi kontraktor swasta klu swasta was² ki daeng.. ,https://www.instagram.com/p/C5pDGE4MM_x/,negatif
doddyharyono88,Kalau sdah ada peletakan batu pertamanya baru ku percaya gassing ka na berteli ji ki,https://www.instagram.com/p/C5pDGE4MM_x/,negatif
risalagussalim92,Bikin mi cpt. Mau cagub bos ka,https://www.instagram.com/p/C5pDGE4MM_x/,negatif
abd_kholiq87,Hoax,https://www.instagram.com/p/C5pDGE4MM_x/,negatif
chococool07,😂,https://www.instagram.com/p/C5pDGE4MM_x/,netral
_vikall.22,karoppo mi seng 😁,https://www.instagram.com/p/C5pDGE4MM_x/,negatif
tirta_azis,Tabe buktikan maq dlu kodong 😂,https://www.instagram.com/p/C5pDGE4MM_x/,negatif
yusufdw23,Akhir jabatan baru bikin semoga tidak mangkrak lagi,https://www.instagram.com/p/C5pDGE4MM_x/,negatif
ibank.ysd,Gappai ka sanging wacana ji tena realisasi na😅,https://www.instagram.com/p/C5pDGE4MM_x/,negatif
dhudy_46,Mau dimana pun asal di makassar ji. yg penting jelas ji ada stadionnya,https://www.instagram.com/p/C5pDGE4MM_x/,positif
wldyout_,Kalau Mentri pupr mo itu bilang,https://www.instagram.com/p/C5pDGE4MM_x/,netral
mizwarmustakim,Tambah bagan lagi @meme_troll_of_psm,https://www.instagram.com/p/C5pDGE4MM_x/,netral
andi_mangatta,Ejapi na doang,https://www.instagram.com/p/C5pDGE4MM_x/,negatif
m.bagoes.soesilo,Itu PUPR lampirkan nama yang berjanji,https://www.instagram.com/p/C5pDGE4MM_x/,netral
jrzfath,Dekat apa gaesss… ? Ohhhh dekat PILKADA,https://www.instagram.com/p/C5pDGE4MM_x/,negatif
annaz_rizky_newvita_el_rafif_,sebentar ujungnya kayak stadion Barombong,https://www.instagram.com/p/C5pDGE4MM_x/,negatif
annaz_rizky_newvita_el_rafif_,sebentar ujungnya kayak stadion Barombong,https://www.instagram.com/p/C5pDGE4MM_x/,negatif
rajfadhilah,😂😂😂😂😂,https://www.instagram.com/p/C5pDGE4MM_x/,netral
syirinr02,Pasar sudiang  ka setiap hari penuh penjual,https://www.instagram.com/p/C5pDGE4MM_x/,netral
ulatnaga,manisnya. hati2 diabetes,https://www.instagram.com/p/C5pDGE4MM_x/,negatif
ayurahayu_alghifarezqfirdaus,Janji  mendekati pemilu calongubernur dan walikota😢 ,https://www.instagram.com/p/C5pDGE4MM_x/,negatif
13.irfandi,Carita,https://www.instagram.com/p/C5pDGE4MM_x/,negatif
khrllam,klo pupr yg bangun agak meragukan,https://www.instagram.com/p/C5pDGE4MM_x/,negatif
_angintimurr,Karna di sudiang kurang tukang parkir,https://www.instagram.com/p/C5pDGE4MM_x/,negatif
adyakuza99,Saya harap stadion internasional  ini yang berpakapasitas 50.000 ini tidak memiliki lintasan lari @kemenpupr @basuki_hadimuljono @jokowi @dpramdhanpomanto,https://www.instagram.com/p/C5pDGE4MM_x/,positif
miftahman01,percaya PUPR 🔥,https://www.instagram.com/p/C5pDGE4MM_x/,positif
firmansyah.96,Jangan sampai jadi ke pembangunan candi yg ke-3 makassar,https://www.instagram.com/p/C5pDGE4MM_x/,negatif
afrianto_bustan,Jadi tompi na bilang ada.,https://www.instagram.com/p/C5pDGE4MM_x/,negatif
muhammad_adamnur,🔥🔥🔥,https://www.instagram.com/p/C5pDGE4MM_x/,netral
ciking_84,Jadi pi baru percaya ki,https://www.instagram.com/p/C5pDGE4MM_x/,negatif
muh_edwincho,Tukang parkir tersenyum. Tolong pemerintah jangan berikan ruang jukir untuk kuasai lahan tersebut.,https://www.instagram.com/p/C5pDGE4MM_x/,negatif
zandhy03,Iye bos kerja mi yg penting dananya Gak korupsi ki😂😂,https://www.instagram.com/p/C5pDGE4MM_x/,negatif
morowali.bersatu,omong kosong,https://www.instagram.com/p/C5pDGE4MM_x/,negatif
proyeksiapeck,Hoax bertubi tubi😆😁,https://www.instagram.com/p/C5pDGE4MM_x/,negatif
sulaiman.88888,Aihhh jangan laloh deee dibongkar ujung ujungnya Ndak mau di bangun kembali seperti di mattoanging🥺,https://www.instagram.com/p/C5pDGE4MM_x/,negatif
rhagilllesmanaa,Jadi pi baru di bilang jadi,https://www.instagram.com/p/C5pDGE4MM_x/,negatif
mandha48,Mudah mudahan jadi betul stadionya tidak jauh ki nanti nonton bola,https://www.instagram.com/p/C5pDGE4MM_x/,positif
spectre09y,Kenapa tosseng dibangun disana sudah jauh daerah macet,https://www.instagram.com/p/C5pDGE4MM_x/,negatif
yayo.ism,Tanda2 pilkada makin dekat 😂,https://www.instagram.com/p/C5pDGE4MM_x/,negatif
infopemkotmakassar,👏👏👏❤️❤️❤️,https://www.instagram.com/p/C5pDGE4MM_x/,netral
__ed.ward_,Kementrian PUPR toh yang kerjakan supaya tidak ada yang mengaku ka mau mi pilkada bla,https://www.instagram.com/p/C5pDGE4MM_x/,positif
bahrin13133,Kalau kementerian PUPR yang kerja insyaallah sampai rampung tidak diragukan lagi.... 😂😂 ,https://www.instagram.com/p/C5pDGE4MM_x/,positif
bolkiahsptr,Kenapa november? Karna pilkada😂😂,https://www.instagram.com/p/C67qJZ3SgD4/,negatif
muharief_r1,Adami kabarnya juga PJ Gubernur mau diganti,https://www.instagram.com/p/C67qJZ3SgD4/,netral
fafaamuhammad,😂,https://www.instagram.com/p/C67qJZ3SgD4/,netral
supardii13,Sulit dipercaya 😌,https://www.instagram.com/p/C67qJZ3SgD4/,negatif
herman_syarif_474,Akun sebelah sudah ada yg oknum masyarakat yg claim itu tanahnya (cikal bakal stadion sudiang)  dan katanya sudah masuk sengketa di pengadilan negeri makassar dan Mahkamah Agung,https://www.instagram.com/p/C67qJZ3SgD4/,negatif
why69_id,Jalan mi saja pembangunannya na masih bisa tidak jadi apalagi kalo masih sekedar wacana😂,https://www.instagram.com/p/C67qJZ3SgD4/,negatif
hasriadi_hasan,Dibilang ada pi baru dibilang ada deh sedangkan yang ada saja bisa hilang atau bisa mangkrak apalagi baru rencana 🤭 ,https://www.instagram.com/p/C67qJZ3SgD4/,negatif
muh_ashri05,Dibuat memang mi sebelum pilkada ! Takutnya pilkada selesai ! Tapi wacana bangun stadion di tunda 😂,https://www.instagram.com/p/C67qJZ3SgD4/,negatif
bang_kheto,Sebelum pemilihan harus di kerjakan memang 😂,https://www.instagram.com/p/C67qJZ3SgD4/,negatif
teman_supporter,Pas Pilkada 😂😂😂😂😂… kalau tidak terpilih apakah tetap di lanjut atau tidak??🤣🤣🤣,https://www.instagram.com/p/C67qJZ3SgD4/,negatif
irwansyahabdulllah18,🔥🔥🔥,https://www.instagram.com/p/C67qJZ3SgD4/,netral
vherman.m,Beritakan saja admin kalau sudah jadi takutnya kek yg sudah,https://www.instagram.com/p/C67qJZ3SgD4/,negatif
lonk88_screenprinting,📍TEMPATNYA SABLON KAOS 👕😎,https://www.instagram.com/p/C67qJZ3SgD4/,netral
ibeezr,harus ki tawwa dulu percaya saudara🙌,https://www.instagram.com/p/C67qJZ3SgD4/,positif
yahyadagu12,Setelah pilkada yahh.. pesimis.. bakal banyak drama nya lagi…,https://www.instagram.com/p/C67qJZ3SgD4/,negatif
yuditipuw378,Masih ada 6 bulan,https://www.instagram.com/p/C67qJZ3SgD4/,netral
__alisyahbana__,Ada pi baru bilang ada,https://www.instagram.com/p/C67qJZ3SgD4/,negatif
echas__gk87,Uploadtan @teman_supporter ada warga yg klaim tanahnya,https://www.instagram.com/p/C67qJZ3SgD4/,negatif
top_wanng,Standar Fifa kelurahan kapang,https://www.instagram.com/p/C67qJZ3SgD4/,negatif
aryaa_sraf,November pas mau tutup buku 😂😂😂 JaDi agenda laGi buat pilkada😂,https://www.instagram.com/p/C67qJZ3SgD4/,negatif
afdhalul_fikri,digarap WCnya saja,https://www.instagram.com/p/C67qJZ3SgD4/,negatif
andyfauzanakbar,Padahal ini perintahnya langsung dari presiden semoga bawahannya amanah semua agar lancar tidak seperti kejadian sebelumnya😂 ,https://www.instagram.com/p/C67qJZ3SgD4/,positif
ainulwahyu_,Ku tunggu mami saya hasil nya jadi ji atau tidak,https://www.instagram.com/p/C67qJZ3SgD4/,netral
ranugrahp,😂😂😂,https://www.instagram.com/p/C67qJZ3SgD4/,netral
omculk,Min berhenti maki update Ki Masalah stadion bosan maki dengar bilang ini bilang sana  sangin pabartel ji maaf min,https://www.instagram.com/p/C67qJZ3SgD4/,negatif
yosuapandu,Tidak terlibat ko 😂,https://www.instagram.com/p/C67qJZ3SgD4/,negatif
erwin_nugraha13,Na bongkar to ji saja😂 nda na kerja om,https://www.instagram.com/p/C67qJZ3SgD4/,negatif
frhanoscar_,Jadi pi dibilang jadi,https://www.instagram.com/p/C67qJZ3SgD4/,negatif
abempatbelas,Jadi pi dibilang jadi 🫢,https://www.instagram.com/p/C67qJZ3SgD4/,negatif
rumaishhhahh,ADA PI NAMPA NIKANA ADA,https://www.instagram.com/p/C67qJZ3SgD4/,negatif
cincin.kawin.makassar,Semoga lancar yah pembangunannya,https://www.instagram.com/p/C67qJZ3SgD4/,positif
mhmmdzckyramadhan,jadi pi baru dibilang jadi,https://www.instagram.com/p/C67qJZ3SgD4/,negatif
tiarmustari,Bismillah semoga terlaksana dan berjalan lancar ... aamiin ... ❤️,https://www.instagram.com/p/C67qJZ3SgD4/,positif
3lank,November krn sebelum pilkada😂,https://www.instagram.com/p/C67qJZ3SgD4/,negatif
patiroy_jr,janji manis 😂😂,https://www.instagram.com/p/C67qJZ3SgD4/,negatif
affh_iyaaa28,Bulan November bertepatan pilkada jangan2?? ada bakwan di balik tepung😂,https://www.instagram.com/p/C67qJZ3SgD4/,negatif
rahmatlatifff,Batena ecc itu saimo yg ada lanjut bangun anu nassami,https://www.instagram.com/p/C67qJZ3SgD4/,negatif
ardiyansyahbinnurdin,Makassar tdk butuh stadion yg di butuhkan saat ini adalah tanah kosong untuk menguburkan orang* yg janji bikin stadion baru nda pernah jadi,https://www.instagram.com/p/C67qJZ3SgD4/,negatif
db.shooter,Akses jalannya sempit. Dijamin ricuh orkes 😂,https://www.instagram.com/p/C67qJZ3SgD4/,negatif
lalat_terbangg,Janji mutale eee,https://www.instagram.com/p/C67qJZ3SgD4/,negatif
iswarrivai,Sallona 😂😂,https://www.instagram.com/p/C67qJZ3SgD4/,negatif
cakraflorist.id,BURUAN ORDER KARANGAN BUNGA DI @karanganbungamks.id KAKAK  HARGA MULAI 200K-an🔥,https://www.instagram.com/p/C67qJZ3SgD4/,netral
__dutchm4n,Itu lagi...,https://www.instagram.com/p/C67qJZ3SgD4/,netral
an.dra_p.eran,Itu di barombong.. 😂,https://www.instagram.com/p/C67qJZ3SgD4/,negatif
abd_kholiq87,Bacot,https://www.instagram.com/p/C67qJZ3SgD4/,negatif
tahlisajalah,Jangan ki terpancing karena dekat mi pilkada 😂,https://www.instagram.com/p/C67qJZ3SgD4/,negatif
cakudu,Sirkuit untia bagaimana kabarnya 😢,https://www.instagram.com/p/C67qJZ3SgD4/,negatif
reskiardiansyah_,Terserah meki....,https://www.instagram.com/p/C67qJZ3SgD4/,negatif
iqbal_hidayatttt,hoax🙌,https://www.instagram.com/p/C67qJZ3SgD4/,negatif
irhamtreni,apa hanya sy saja yang merasa tdk yakin ya? kalian iya cika gimana rasa2 ta ini berita.,https://www.instagram.com/p/C67qJZ3SgD4/,negatif
ardiansyahhariff,Nassaji kah gappa sperti ji yg sudah2,https://www.instagram.com/p/C67qJZ3SgD4/,negatif
bagasgilang009,Banyak na itu bela stadion kasi selesai satu baru satu lagi,https://www.instagram.com/p/C67qJZ3SgD4/,negatif
bagasgilang009,Sanging usulan terus,https://www.instagram.com/p/C67qJZ3SgD4/,negatif
ihksanoo_,Curigaku,https://www.instagram.com/p/C67qJZ3SgD4/,negatif
arshaq.f,Apresiasi Pemprov Sulsel 👍,https://www.instagram.com/p/C67qJZ3SgD4/,positif
ramadonabintang,Lokasi dimana sih???,https://www.instagram.com/p/C67qJZ3SgD4/,netral
andiari_10,Gak usah rencana kan stadion baru lagi yg di barombong sama di mattoangin dulu selesai kan,https://www.instagram.com/p/C67qJZ3SgD4/,negatif
immankbaso,jadi pi baru dibilang jadi,https://www.instagram.com/p/C67qJZ3SgD4/,negatif
chairiljabir,Di mana ada stadion di situ ada sengketa,https://www.instagram.com/p/C7Br1EMv30C/,negatif
_naldy24,Hahahaha baru itu station di barombong bagus na knp tdk itu saja🤣,https://www.instagram.com/p/C7Br1EMv30C/,negatif
tiarmustari,Pemkot harus menyelesaikan semua dokumen kepemilikan secepatnya agar kasus mattoangin tdk terulang lagi di Sudiang,https://www.instagram.com/p/C7Br1EMv30C/,negatif
akkhi_bahar29,Maksudku sy toh itu mo Barombong kasihan dilanjutkan sebentar ka sama ji Barombong juga terbengkalai. Kasi kelar mi dulu satu maksudku.,https://www.instagram.com/p/C7Br1EMv30C/,negatif
andiooopi,The next Barombong 😂,https://www.instagram.com/p/C7Br1EMv30C/,negatif
a.asyifaainayaputri,Satu satu ki kodong,https://www.instagram.com/p/C7Br1EMv30C/,negatif
risdathalib,Ada terus masalah,https://www.instagram.com/p/C7Br1EMv30C/,negatif
irfannaww,menyala sudiang ku 🔥🔥🔥,https://www.instagram.com/p/C7Br1EMv30C/,positif
kurironlinepangkep,🤔,https://www.instagram.com/p/C7Br1EMv30C/,negatif
akkarenagame,Sudah kuduga 🔥,https://www.instagram.com/p/C7Br1EMv30C/,negatif
mino_food6,Selama itu proyek RI 1 . Pasti berjalan,https://www.instagram.com/p/C7Br1EMv30C/,positif
raihanzabir_,Lebih bagus buat sirkuit kwkwkw,https://www.instagram.com/p/C7Br1EMv30C/,negatif
robbygaga,Deeh mending kasi selesai itu stadion barombong dari pada buat baru lagi.. pakanre doe ka,https://www.instagram.com/p/C7Br1EMv30C/,negatif
sulkarnaim26,@ryan_kim16 😂😂,https://www.instagram.com/p/C7Br1EMv30C/,netral
allusioxxi,Pertama di angkat tinggi2 setelah itu di hempaskan😢😢 ,https://www.instagram.com/p/C7BMS0zPi7X/,negatif
erick_dwiofficial.id82,jadi Guberur pi bapak ka yg katanya anak lorong baru nakasih jadi itu stadion biar anu sengketa bisa ji na selesaikan bapak ka ini kau 😂😂😂😂😂 ,https://www.instagram.com/p/C7BMS0zPi7X/,negatif
dho_cungkrink,Masih optimis ji ki min sama ini proyek ? Hahaha.. Jadi pi baru dibilang jadi,https://www.instagram.com/p/C7BMS0zPi7X/,negatif
faridradja,Sudah begitu mi jalannya selalu 😂,https://www.instagram.com/p/C7BMS0zPi7X/,negatif
idrisali83,Kalau benar2 warga yg punya tanah bayar saja kalau memang pemerintah serius ingin buat stadion. Kalau pembangunan stadion samping tol sudah sampai mana min?,https://www.instagram.com/p/C7BMS0zPi7X/,negatif
ukha_manyuk,Yaaa uda mulai lagi,https://www.instagram.com/p/C7BMS0zPi7X/,negatif
janjinabapaka,DRAMA OBAT TELINGA KRN TERLALU RISKAN KLO PAKE DRAMA GAGAR TENDER DAN LAIN2 😂😂😂😂 ,https://www.instagram.com/p/C7BMS0zPi7X/,negatif
syahrill_karim,Dimana mau dibangun Stadion maka di situ ada sengketa,https://www.instagram.com/p/C7BMS0zPi7X/,negatif
asril_aka,Kalau pejabat makassar mau di harap tidak bakalan jadi. Itu mi ada pusat langsung intervensi baru bisa kayaknya.,https://www.instagram.com/p/C7BMS0zPi7X/,negatif
ophiemakassar790,Hanya stadion yang pembangunannya selalu bermasalah .giliran perumahan Rumah sakit Hotel Mall Auditorium ruko dll tidak ada masalah,https://www.instagram.com/p/C67qJZ3SgD4/,negatif
daengwawa,Semua tanah di Makassar itu sengketa 😂,https://www.instagram.com/p/C7BMS0zPi7X/,negatif
k1n4ko,JADI PI BOSS BARU DIBILANG JADI👏,https://www.instagram.com/p/C6Lbq2Nxtzx/,negatif
jumardin88,Masih pakai juga lintasan lari,https://www.instagram.com/p/C6Lbq2Nxtzx/,netral
danijawa_218,SULSEL NIH BOSS JADI PI BARU DI BILANG JADI 😂😂😂,https://www.instagram.com/p/C6Lbq2Nxtzx/,negatif
ade.fs19,Tawwa 👏,https://www.instagram.com/p/C6Lbq2Nxtzx/,positif
acam.id,Bru ilustrasi bangganya mi kodong😂,https://www.instagram.com/p/C6Lbq2Nxtzx/,negatif
muismuhfly,Semoga bisa dibuktikan tepat waktu.,https://www.instagram.com/p/C6Lbq2Nxtzx/,positif
famidol_,dari manako selama ini,https://www.instagram.com/p/C6Lbq2Nxtzx/,negatif
ardhyansyah.og,kalau pusat punya rencana masih bisa di pegang tapi kalau daerah ampun apalagi wali kota kocaknya 😂😂😂 ,https://www.instagram.com/p/C6Lbq2Nxtzx/,negatif
hamka.81,Tawwa pede mi posting stadion😂😂,https://www.instagram.com/p/C6Lbq2Nxtzx/,positif
mqadriak,Semoga tdk jadi tambahan proyek mangkrak ini proyek pembangunan stadion😂,https://www.instagram.com/p/C6Lbq2Nxtzx/,positif
aswar_2r,Tawwana ada mi dekkengna di pusat.,https://www.instagram.com/p/C6Lbq2Nxtzx/,netral
yjcrafty,🔥,https://www.instagram.com/p/C6Lbq2Nxtzx/,netral
muhammadkhalil13_,Jadi pi baru dibilang jadi,https://www.instagram.com/p/C6Lbq2Nxtzx/,negatif
wahyu_macz,Turun tangan Pi pusat baru caper ki stalak,https://www.instagram.com/p/C6Lbq2Nxtzx/,negatif
fadel_arsy,Baku dekkeng mi sama pusat kalo para2na pasti lempar tanggung jawab😂 ,https://www.instagram.com/p/C6Lbq2Nxtzx/,negatif
muh.yusril026,🔥🔥🔥,https://www.instagram.com/p/C6Lbq2Nxtzx/,netral
febriharisandi,Jadi tompi na bilang ki jadi,https://www.instagram.com/p/C6Lbq2Nxtzx/,negatif
muh_irvans.x_x,Panggil kawan mi,https://www.instagram.com/p/C6Lbq2Nxtzx/,netral
_sfyan25,yang penting yakin saja,https://www.instagram.com/p/C6Lbq2Nxtzx/,netral
xyvnxs,Halooo PUPR yg baca ini barombong mo dlu kasi selesai kdong 🥲 ,https://www.instagram.com/p/C6Lbq2Nxtzx/,negatif
joemardi_arash,JANJI KELAMAAN PERCAYA KI SEMUA ITU ???,https://www.instagram.com/p/C6jEZaSPTBY/,negatif
kakaidsuka,bagaimana kabar keikutsertaan psm di asean club championship yg bakal drawing tanggal 9 mei nanti??,https://www.instagram.com/p/C6jEZaSPTBY/,netral
adamnouri99,Kebiasaan makanya pesimis😢,https://www.instagram.com/p/C6jEZaSPTBY/,negatif
mustarilatief,Insyaallah Mudahan tercapai bukan ji janji Politik..!!!,https://www.instagram.com/p/C6jEZaSPTBY/,positif
muslimabunaufal23,Semoga Allah mudahkan,https://www.instagram.com/p/C6jEZaSPTBY/,positif
_mhmmdasky,NANTI BALIK LAGI KESINI KALO DAH JADI,https://www.instagram.com/p/C6jEZaSPTBY/,netral
pajeringlabel,ada baru pi baru ada,https://www.instagram.com/p/C6jEZaSPTBY/,netral
irapshody,Pas naik mi dani pedrosa langsung tiba2 ada masalah dan berhenti lagi 😂,https://www.instagram.com/p/C6jEZaSPTBY/,negatif
saeful_bahriii,nia’ tong pi na ada🙂‍↔️,https://www.instagram.com/p/C6jEZaSPTBY/,negatif
asjunakbar,Haha susah na deh,https://www.instagram.com/p/C6jEZaSPTBY/,negatif
gunman16_,Tadi ke GOR ka tdk ada mobil proyek keluar masuk...,https://www.instagram.com/p/C6jEZaSPTBY/,netral
safar_erdham,Baru di tinggal lagi😂😂😂,https://www.instagram.com/p/C6jEZaSPTBY/,negatif
safar_erdham,Kalau naik mi rossi na lupa mako😂😂😂,https://www.instagram.com/p/C6jEZaSPTBY/,negatif
mass._alif,Banyak cacicu,https://www.instagram.com/p/C6jEZaSPTBY/,negatif
_rianxp_,Mantap stadionnya🔥,https://www.instagram.com/p/C4ZZEM1pvDq/,positif
captainzain25,Mantap lanjutkan,https://www.instagram.com/p/C4ZZEM1pvDq/,positif
sonaemon_,Mantap lancar pembangunannya amin,https://www.instagram.com/p/C4ZZEM1pvDq/,positif
indraa.e_,Semoga stadion tersebut lancar,https://www.instagram.com/p/C4ZZEM1pvDq/,positif
macazzart_badboy,Paling banyak bicaranya padahal di tau skali ji dia tidak pernah mau bangun stadion di makassar🤪🤪,https://www.instagram.com/p/C4ZZEM1pvDq/,negatif
herry_wahyu06,Pilgub sudah dekat,https://www.instagram.com/p/C4ZZEM1pvDq/,negatif
kevinjulian.n,lumayan lah setidaknya ada mo saja dulu dan sanggup di rawat.,https://www.instagram.com/p/C4ZZEM1pvDq/,positif
fathurrahman.usman,Maksudku saya jangan mi terlalu besar. Ka perawatnnya nanti tidak main2,https://www.instagram.com/p/C4ZZEM1pvDq/,netral
rizaldy_ichal,Ini pun sebenarya proyek pemerintah pusat bukan pemda😂. Jadi guys berterima kasihlah kepada pememerintah pusat bukan bukan kepada gubernur atau wali kota ini😂,https://www.instagram.com/p/C4ZZEM1pvDq/,negatif
j.priyawann,😂😂😂,https://www.instagram.com/p/C4ZZEM1pvDq/,netral
armawanto.m_arm,Lumayan jadi market politiknya kanda ya. Dia udah klaim sana sini padahal ini program nasional yang akan dianggarkan dan dikerjakan langsung oleh pemerintah pusat bukan program regional pemprov atau Pemkot. Semoga tidak jadi Benalu lagi ini  anu...,https://www.instagram.com/p/C4ZZEM1pvDq/,negatif
rudievicious,Kalau ukuran bolehlah sama secara kapasitas cuman semoga lebih modern modelnya,https://www.instagram.com/p/C4ZZEM1pvDq/,negatif
bgussaputra,Dekat tojeng mi pilkada 😂 tapi bedanya ini presiden yg janji ki 👏,https://www.instagram.com/p/C4ZZEM1pvDq/,negatif
ardi_patta,Oh Tuhan Tolong jika ada orang janji janji dan bohong sadarkanlah dia secepatnya. Note : JIKA,https://www.instagram.com/p/C4ZZEM1pvDq/,negatif
cincin_kawin_pangkep,MasyaAllahhh tapi tidak bagus itu janji semoga betulan mi terlaksana,https://www.instagram.com/p/C4ZZEM1pvDq/,positif
icnk91,Atur saja bosku,https://www.instagram.com/p/C4ZZEM1pvDq/,positif
fuact,omong kosong ji besar kanda Bikin mi dulu,https://www.instagram.com/p/C4ZZEM1pvDq/,negatif
chakilu_10,Hilal pilgub sudah de😂kat .,https://www.instagram.com/p/C4ZZEM1pvDq/,negatif
abd_kholiq87,Hoax,https://www.instagram.com/p/C4ZZEM1pvDq/,negatif
mij_official.id,Kontainer ka mo dulu urus baru stadion ka stadion barombong lalo mo Perbaharui atau stadion mappayukki,https://www.instagram.com/p/C4ZZEM1pvDq/,negatif
syafar_95,😢😢😢😢😢 hampir mi pilgub,https://www.instagram.com/p/C4ZZEM1pvDq/,negatif
sofyan.cecep,Usul kasih nama Esemka Stadion,https://www.instagram.com/p/C4ZZEM1pvDq/,positif
ibnvhm,Banyak ji desa eksekusinya ji tdk ada,https://www.instagram.com/p/C4ZZEM1pvDq/,negatif
ardi_wijayayusuf,Kan program pusat bukan dia punya program,https://www.instagram.com/p/C4ZZEM1pvDq/,netral
adam_muhammad76,Pilgub sudah dekat,https://www.instagram.com/p/C4ZZEM1pvDq/,negatif
adam_muhammad76,Kalau realistis bebaskan masalah tanah sekitar Stadion Barombong dan segera benahi itu lebih cepat,https://www.instagram.com/p/C4ZZEM1pvDq/,negatif
adam_muhammad76,Yang di Sudiang menyusul nanti setelah Pilgub,https://www.instagram.com/p/C4ZZEM1pvDq/,negatif
abdul_rahman_ammank,Jadi pi bru dibilang ada anu ji ini janji janji ji supaya di pilih di pilgub😂,https://www.instagram.com/p/C4ZZEM1pvDq/,negatif
awieueo02,Saya yakin ini cuma rencana Kedepannya jangan terlalu berharap,https://www.instagram.com/p/C4ZZEM1pvDq/,negatif
afr1zll,Alhamdulillah terima kasih kepada kalian yang telah membangun.,https://www.instagram.com/p/C4ZZEM1pvDq/,positif
kocenk.d.orenk,Cuiihhh,https://www.instagram.com/p/C4ZZEM1pvDq/,negatif
ashartaufik7,Sebagai sih lagi bapak'e,https://www.instagram.com/p/C4ZZEM1pvDq/,netral
hanmhmd32,Buka puasa mi ki dulu baru bicara kah pusing mi ki kapang 🤣,https://www.instagram.com/p/C4ZZEM1pvDq/,negatif
jaya6748,Kalian sudah tahu menyerah atau merubah sesuatu di Toli kisruh sudah dekat ini Pilgub jadi menggunakan strategi janji yang banyak untuk menipu,https://www.instagram.com/p/C4ZZEM1pvDq/,negatif
ruslanabdgani_,Yang saya tunggu Kapan peletakan batu pertama,https://www.instagram.com/p/C4ZZEM1pvDq/,netral
rul_ly,tidak mungkin,https://www.instagram.com/p/C4ZZEM1pvDq/,negatif
balecos0,BUKTI PERLU BOS @dpramdhanpomanto   Jangan hanya berbicara saja kalau ingin saya bisa tunjukkan. Jika hanya cerita dan omong kosong saja.,https://www.instagram.com/p/C4ZZEM1pvDq/,negatif
rahmat_1991_,Si paling scanning 😂,https://www.instagram.com/p/C4ZZEM1pvDq/,negatif
daeng.ichal.7169,Preet Ka Dekatmi Pilgub,https://www.instagram.com/p/C4ZZEM1pvDq/,negatif
